sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
1	-69.57547587525686	-30.93465804292492	-28.966840742486276	-42.28246698069896	26.93078297380954	-65.34840465030796	-19.2916696142084	-109.56375913780175	-17.367689832841407	161.9621407127738	92.89339409681673	-4.704231795771285e-13
2	-31.36969502385343	-59.70484838524585	-73.64804904339677	-60.479669485725495	82.48096670779461	211.06064425850357	-34.0370675169098	42.4308239203055	-1.046013765650268	2.3943993191416526	16.692447096586736	5.703072562812661e-13
3	-10.112529190698101	190.90668181662934	-130.47651172489427	121.6814858518251	-59.2507889127794	33.8273710253643	-11.435346283805899	-28.483374631502887	10.230349627851826	-0.8776903495581375	2.217646633666891	5.768499827113471e-13
4	40.28064570132621	-7.790627553474011	-9.718453609688606	1.2730338378900232	8.904757451778538	-8.644325214360023	227.70036331116475	73.24364999500904	16.327603997996633	52.14824911631289	-8.600212582784216	4.1285074317554127e-13
7	-75.8031616721214	-21.229077631598756	-29.782051512535265	-35.30734051594311	24.318446987223435	-48.46132096907757	-23.561028394027293	-26.244396435141244	-18.007002418660957	20.211738616992765	-209.63204529318534	4.504263444431861e-13
10	191.98497952857497	113.80693688600722	65.10944601891389	-152.23781426536743	-8.2367330247457	1.715486986169909	-39.58421667860355	-16.149915173227143	5.315588587453912	8.574560114251696	-9.588393098415299	8.825178001575784e-14
11	-27.016748861757847	-47.35762175207258	-5.616962721736989	-23.19409591762614	13.122234192965147	-24.58161616468504	36.63311993159167	-115.18898740348646	148.85461571660855	-134.8109523316497	27.15553872559469	2.1376483482632436e-12
12	-59.684529361252174	10.16317929917705	-36.479356273763685	-31.54264372460887	22.177697953505234	-118.02276361715315	-77.208403131253	176.12994892193805	54.12478250541211	-23.585217523126268	48.73538690791059	-3.2911867675622375e-13
15	48.69971486805869	-130.71200589380572	-3.1866280998819376	21.599124404603316	-223.05864039768682	22.710205196762388	-34.07024156136169	16.70702071248454	-7.474188165622704	12.179515331656098	-1.433650877106965	-2.0470378864212435e-12
17	-136.12841030807348	67.49961053661174	216.42902908380495	42.68615456795723	-22.145335056711538	57.71968530657302	-1.2415107157390577	13.32371940622644	0.9065511054945533	6.349241264520037	6.720191596431772	-5.006355166580281e-13
18	-15.832464800668378	-11.712280541887434	-12.621287205474077	-14.520969677358087	18.864187097014224	-42.170225479227945	28.40991061526705	-23.500755058536406	-195.11154026967353	-121.29462635894863	44.28995665119003	-9.92501436938853e-14
20	144.55767499572516	-72.93528873741644	48.95766583113873	172.32520190505386	115.89242402783188	-19.804736678561003	-52.31390996211344	-2.7039751162678436	3.2469429116286737	16.748642087631154	-9.450259856705287	-6.769216263913247e-13
