Genes	CH01-06	CH01-14	CH01-22	CH01-38	CH03-04	CH03-15	CH03-33	CH05-01	CH05-06	CH05-07	CH05-09	CH05-14	CH05-21	CH05-29	CH07-04	CH07-06	CH07-08	CH07-11	CH07-24	CH09-02	CH09-13	CH09-28	CH10-08	CH10-11
M_mag.00g000470-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000480-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000490-v1.0.a1	0	1	0	0	0	0	0	1	0	0	0	2	0	3	3	4	0	2	4	2	0	1	0	1
M_mag.00g000500-v1.0.a1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g000510-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0
M_mag.00g000520-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g000530-v1.0.a1	92	48	51	63	70	36	19	47	62	106	60	31	57	51	60	85	50	133	30	37	48	52	45	86
M_mag.00g000540-v1.0.a1	0	1	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g000550-v1.0.a1	2	11	10	10	1	10	9	18	4	4	15	14	3	4	10	21	9	24	10	8	14	4	9	18
M_mag.00g000560-v1.0.a1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0
M_mag.00g000570-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000580-v1.0.a1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M_mag.00g000590-v1.0.a1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	0	2	0	0	0	0
M_mag.00g000600-v1.0.a1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0
M_mag.00g000610-v1.0.a1	0	3	0	1	2	0	0	1	0	3	3	4	2	17	3	0	0	1	0	3	0	3	0	1
M_mag.00g000620-v1.0.a1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
M_mag.00g000630-v1.0.a1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000640-v1.0.a1	0	1	11	0	0	2	0	0	1	4	0	0	0	1	1	0	0	0	0	0	2	0	0	1
M_mag.00g000650-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g000660-v1.0.a1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	7	0	0
M_mag.00g000670-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g000680-v1.0.a1	1	0	8	0	0	1	0	0	1	3	1	1	0	2	7	0	0	0	0	0	1	0	0	0
M_mag.00g000690-v1.0.a1	0	6	0	1	0	2	0	4	0	5	4	0	0	0	4	0	1	0	0	0	0	4	0	1
M_mag.00g000700-v1.0.a1	0	8	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g000710-v1.0.a1	5	3	0	7	6	1	2	2	1	2	3	3	1	0	3	2	2	2	2	2	6	9	3	0
M_mag.00g000720-v1.0.a1	5	0	1	1	0	0	0	0	0	11	0	3	0	0	7	0	0	0	0	0	0	0	1	0
M_mag.00g000730-v1.0.a1	0	0	0	2	3	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
