Genes	CH01-06	CH01-14	CH01-22	CH01-38	CH03-04	CH03-15	CH03-33	CH05-01	CH05-06	CH05-07	CH05-09	CH05-14	CH05-21	CH05-29	CH07-04	CH07-06	CH07-08	CH07-11	CH07-24	CH09-02	CH09-13	CH09-28	CH10-08	CH10-11
M_mag.00g006590-v1.0.a1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	2	1	0	0	2	0	0
M_mag.00g006600-v1.0.a1	40	54	50	36	29	30	24	22	25	16	26	16	29	21	11	11	78	7	38	19	2	41	42	11
M_mag.00g006610-v1.0.a1	8	5	1	1	2	0	0	2	4	0	0	0	0	1	4	0	0	0	0	0	3	0	0	8
M_mag.00g006620-v1.0.a1	25	166	98	69	55	36	11	117	63	189	56	68	19	52	137	350	7	34	40	36	43	28	61	53
M_mag.00g006630-v1.0.a1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0
M_mag.00g006640-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g006650-v1.0.a1	6	1	0	5	0	0	0	5	0	1	5	0	0	9	2	0	4	0	2	3	6	0	2	7
M_mag.00g006660-v1.0.a1	4	2	0	0	3	0	0	3	0	0	0	1	1	0	0	6	8	0	0	0	0	0	0	0
M_mag.00g006670-v1.0.a1	4	31	19	29	10	6	1	11	5	27	1	13	0	20	57	1	2	1	2	18	8	4	9	10
M_mag.00g006680-v1.0.a1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	3	0	0
M_mag.00g006690-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g006700-v1.0.a1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g006710-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g006720-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M_mag.00g006730-v1.0.a1	0	18	4	2	0	0	2	3	0	8	0	2	0	1	3	1	2	6	3	0	0	2	2	2
M_mag.00g006740-v1.0.a1	0	15	9	8	1	0	0	1	1	20	2	11	3	5	18	5	5	2	0	2	4	0	2	10
M_mag.00g006750-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0
M_mag.00g006760-v1.0.a1	0	2	5	0	0	0	0	1	0	0	2	5	0	0	5	0	0	0	0	1	4	0	4	7
M_mag.00g006770-v1.0.a1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
M_mag.00g006780-v1.0.a1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
M_mag.00g006790-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g006800-v1.0.a1	0	1	3	2	0	1	0	2	0	4	0	0	0	0	1	2	0	0	0	1	0	0	0	0
M_mag.00g006810-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g006820-v1.0.a1	0	3	0	0	0	0	1	2	2	0	0	3	0	0	3	0	0	0	0	5	0	0	1	0
M_mag.00g006830-v1.0.a1	4	0	19	5	1	24	31	28	15	16	9	12	2	8	2	14	35	41	27	14	13	32	5	2
M_mag.00g006840-v1.0.a1	9	36	7	12	4	9	2	28	7	29	23	26	3	21	36	2	3	8	7	17	10	12	7	15
M_mag.00g006850-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g006860-v1.0.a1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
M_mag.00g006870-v1.0.a1	0	8	1	0	0	0	2	3	3	7	0	2	0	9	4	0	1	0	4	1	0	0	7	5
M_mag.00g006880-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g006890-v1.0.a1	2	9	0	11	0	1	0	6	7	7	2	20	0	7	10	0	0	0	0	1	4	11	5	0
M_mag.00g006900-v1.0.a1	2	7	1	7	0	4	0	1	4	9	7	0	0	6	12	0	0	0	0	0	9	0	1	0
M_mag.00g006910-v1.0.a1	6	12	11	12	0	2	1	12	1	31	8	1	0	23	50	0	3	8	0	6	5	1	16	10
M_mag.00g006920-v1.0.a1	2	18	6	8	4	0	0	4	1	7	0	3	1	5	6	0	0	0	0	2	8	0	2	7
M_mag.00g006930-v1.0.a1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g006940-v1.0.a1	1	10	0	3	6	2	2	0	0	0	0	0	1	1	1	0	0	2	0	4	1	3	5	2
M_mag.00g006950-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g006960-v1.0.a1	0	3	0	0	0	0	0	3	0	0	1	0	0	4	0	0	4	0	4	0	2	2	0	2
M_mag.00g006970-v1.0.a1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M_mag.00g006980-v1.0.a1	4	0	3	9	4	8	0	3	1	4	8	7	19	1	4	5	19	25	13	11	3	1	12	7
M_mag.00g006990-v1.0.a1	8	13	4	11	4	1	10	30	2	12	14	9	6	10	23	3	7	8	5	11	5	8	4	1
M_mag.00g007000-v1.0.a1	3	44	7	32	18	3	8	17	9	11	23	13	12	7	7	3	22	1	3	0	3	0	6	11
M_mag.00g007010-v1.0.a1	7	9	5	27	6	7	7	8	8	2	1	11	9	6	9	1	7	0	14	0	0	0	2	1
M_mag.00g007020-v1.0.a1	1	31	3	9	11	12	6	5	7	1	10	18	20	0	6	9	6	0	3	2	0	0	14	1
M_mag.00g007030-v1.0.a1	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007040-v1.0.a1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	9	0	0	0	0	0	0
M_mag.00g007050-v1.0.a1	0	0	1	0	0	0	0	1	0	3	0	0	0	2	1	0	0	0	0	0	0	1	0	0
M_mag.00g007060-v1.0.a1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0
M_mag.00g007070-v1.0.a1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g007080-v1.0.a1	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g007090-v1.0.a1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g007100-v1.0.a1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	3	1	0	0	0	0	0
M_mag.00g007110-v1.0.a1	2	0	2	10	3	0	6	0	4	0	3	5	4	9	5	5	5	8	4	0	0	0	4	0
M_mag.00g007120-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M_mag.00g007130-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007140-v1.0.a1	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	1	0
M_mag.00g007150-v1.0.a1	4	12	9	8	3	4	1	10	12	9	0	8	0	5	17	0	0	0	7	9	5	4	2	13
M_mag.00g007160-v1.0.a1	1	5	0	6	0	4	0	2	0	17	0	2	0	9	4	0	0	3	7	6	3	0	5	8
M_mag.00g007170-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007180-v1.0.a1	3	7	8	7	0	4	0	3	6	10	2	8	0	2	11	3	3	0	1	0	2	2	3	14
M_mag.00g007190-v1.0.a1	0	0	0	0	0	3	0	11	0	0	1	1	0	9	5	0	0	0	0	8	0	1	1	0
M_mag.00g007200-v1.0.a1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	3	0	1	0	0	1
M_mag.00g007210-v1.0.a1	7	1	4	0	4	0	3	2	0	0	1	1	0	2	3	1	2	1	3	2	1	1	0	0
M_mag.00g007220-v1.0.a1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M_mag.00g007230-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g007240-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007250-v1.0.a1	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g007260-v1.0.a1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0
M_mag.00g007270-v1.0.a1	1	31	8	0	7	5	2	19	0	6	15	5	2	3	16	0	0	3	12	16	13	12	3	12
M_mag.00g007280-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007290-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007300-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
M_mag.00g007310-v1.0.a1	12	34	10	19	16	6	2	13	8	42	5	7	0	14	25	0	6	13	0	8	13	4	7	5
M_mag.00g007320-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
M_mag.00g007330-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007340-v1.0.a1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	1
M_mag.00g007350-v1.0.a1	0	3	0	0	0	0	0	0	1	0	0	9	0	0	2	0	0	0	0	3	0	5	0	0
M_mag.00g007360-v1.0.a1	8	29	14	17	1	9	5	25	16	48	16	36	0	41	49	3	0	13	10	29	9	4	14	14
M_mag.00g007370-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007380-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007390-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007400-v1.0.a1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007410-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g007420-v1.0.a1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007430-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007440-v1.0.a1	1	5	3	0	0	3	7	0	7	6	1	1	1	0	2	10	3	0	0	2	0	3	5	1
M_mag.00g007450-v1.0.a1	0	7	10	6	7	21	14	2	1	0	15	7	5	12	5	27	24	26	29	9	4	78	6	2
M_mag.00g007460-v1.0.a1	14	41	18	8	29	9	0	26	16	50	9	32	1	15	41	1	5	6	8	16	22	5	10	32
M_mag.00g007470-v1.0.a1	0	5	2	6	0	3	2	11	3	4	9	6	6	5	15	1	1	4	0	10	10	2	7	5
M_mag.00g007480-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007490-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g007500-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
M_mag.00g007510-v1.0.a1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g007520-v1.0.a1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
M_mag.00g007530-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g007540-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007550-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007560-v1.0.a1	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g007570-v1.0.a1	2	3	0	0	3	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	6
M_mag.00g007580-v1.0.a1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
M_mag.00g007590-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007600-v1.0.a1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0
M_mag.00g007610-v1.0.a1	4	14	10	21	4	4	0	12	4	19	3	20	0	17	21	0	5	0	4	10	3	4	3	7
M_mag.00g007620-v1.0.a1	8	9	8	13	0	7	0	3	5	10	18	18	12	1	1	4	15	0	18	6	1	24	15	2
M_mag.00g007630-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007640-v1.0.a1	0	5	0	12	10	4	4	8	6	14	2	1	1	3	4	0	27	0	6	4	2	1	0	1
M_mag.00g007650-v1.0.a1	0	1	0	2	2	0	3	1	2	10	0	9	6	13	7	2	1	0	0	0	1	2	5	2
M_mag.00g007660-v1.0.a1	4	0	0	0	2	1	2	8	1	0	1	3	3	2	5	4	2	0	0	5	0	0	5	0
M_mag.00g007670-v1.0.a1	0	11	0	0	2	0	0	4	1	13	2	4	0	5	16	0	4	0	0	6	13	0	2	11
M_mag.00g007680-v1.0.a1	0	0	3	0	0	0	0	0	0	2	0	0	0	1	2	0	0	2	0	0	0	0	0	0
M_mag.00g007690-v1.0.a1	4	5	12	21	4	3	16	17	2	6	15	0	3	7	2	32	48	67	26	16	22	14	7	2
M_mag.00g007700-v1.0.a1	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M_mag.00g007710-v1.0.a1	0	18	0	7	5	2	0	1	0	5	4	1	1	5	3	0	1	0	1	0	3	4	7	5
M_mag.00g007720-v1.0.a1	3	0	0	4	0	1	0	1	2	5	0	0	0	1	0	0	19	16	4	2	2	0	4	0
M_mag.00g007730-v1.0.a1	13	20	40	6	10	16	0	33	19	48	18	21	2	18	44	14	5	24	2	12	25	7	12	14
M_mag.00g007740-v1.0.a1	7	16	5	11	4	7	7	12	4	12	23	15	4	3	8	32	42	34	24	14	26	12	6	10
M_mag.00g007750-v1.0.a1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0
M_mag.00g007760-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007770-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
M_mag.00g007780-v1.0.a1	3	2	0	0	1	0	0	0	2	0	1	1	1	2	2	0	8	0	1	0	0	0	0	0
M_mag.00g007790-v1.0.a1	21	29	8	24	23	9	8	7	4	9	6	4	5	10	7	15	45	5	16	20	3	1	26	24
M_mag.00g007800-v1.0.a1	25	52	12	20	23	16	28	13	6	24	10	22	17	23	13	18	61	28	33	23	2	9	19	32
M_mag.00g007810-v1.0.a1	51	89	25	56	43	22	40	31	16	30	20	43	38	35	28	45	112	58	20	23	12	22	30	52
M_mag.00g007820-v1.0.a1	51	87	43	64	57	31	40	35	24	49	29	51	28	43	38	60	79	20	42	51	9	4	35	37
M_mag.00g007830-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
M_mag.00g007840-v1.0.a1	0	5	0	0	0	0	0	6	1	1	1	4	0	7	5	1	0	0	1	2	5	1	1	0
M_mag.00g007850-v1.0.a1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
M_mag.00g007860-v1.0.a1	0	5	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0
M_mag.00g007870-v1.0.a1	0	0	0	0	3	0	0	0	0	7	0	0	0	1	2	0	1	0	0	0	3	2	0	0
M_mag.00g007880-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007890-v1.0.a1	0	2	0	9	0	0	0	0	0	0	5	0	2	1	0	0	0	0	2	5	2	0	2	13
M_mag.00g007900-v1.0.a1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007910-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007920-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
M_mag.00g007930-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g007940-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007950-v1.0.a1	12	33	4	6	4	6	1	6	9	42	2	13	3	19	43	4	5	7	3	8	13	7	12	11
M_mag.00g007960-v1.0.a1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g007970-v1.0.a1	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0
M_mag.00g007980-v1.0.a1	3	7	7	0	0	0	0	0	0	21	0	4	0	1	4	0	0	0	0	0	5	0	1	4
M_mag.00g007990-v1.0.a1	0	4	0	8	0	4	2	3	0	1	5	0	5	4	1	10	10	0	6	0	1	0	3	0
M_mag.00g008000-v1.0.a1	13	30	28	7	4	17	20	22	15	12	7	1	7	20	4	40	17	37	65	15	22	11	13	23
M_mag.00g008010-v1.0.a1	21	50	13	90	58	12	23	16	14	1	34	35	25	6	20	14	30	15	16	20	4	0	34	25
M_mag.00g008020-v1.0.a1	0	2	0	0	0	0	0	1	1	6	1	0	0	6	5	0	0	0	0	5	0	5	0	0
M_mag.00g008030-v1.0.a1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008040-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008050-v1.0.a1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008060-v1.0.a1	3	31	21	13	5	6	0	10	2	19	6	12	0	6	8	0	0	3	5	7	6	2	4	3
M_mag.00g008070-v1.0.a1	117	337	72	232	136	66	76	74	101	65	70	142	106	57	83	152	184	121	182	109	37	28	142	118
M_mag.00g008080-v1.0.a1	68	123	23	107	56	22	23	56	64	34	24	47	55	34	38	62	117	28	60	49	13	10	60	55
M_mag.00g008090-v1.0.a1	5	23	1	15	6	1	4	3	4	1	11	3	2	3	4	6	5	7	2	4	3	3	8	7
M_mag.00g008100-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0
M_mag.00g008110-v1.0.a1	0	1	0	4	2	1	3	1	0	0	2	0	4	11	1	13	4	10	5	8	0	10	0	0
M_mag.00g008120-v1.0.a1	0	0	0	0	5	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	1
M_mag.00g008130-v1.0.a1	66	149	60	101	64	38	41	16	62	42	60	54	49	62	48	47	101	31	80	27	13	37	111	61
M_mag.00g008140-v1.0.a1	362	826	257	775	343	448	194	212	297	319	396	628	384	261	281	384	834	221	372	115	78	201	507	309
M_mag.00g008150-v1.0.a1	785	1863	852	2032	962	1053	526	509	588	791	1062	1502	876	460	629	866	1850	575	894	231	159	583	1014	784
M_mag.00g008160-v1.0.a1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M_mag.00g008170-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g008180-v1.0.a1	0	0	0	8	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2
M_mag.00g008190-v1.0.a1	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_mag.00g008200-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008210-v1.0.a1	10	0	0	7	0	1	0	0	2	0	0	0	0	2	1	7	6	11	6	3	0	0	11	0
M_mag.00g008220-v1.0.a1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
M_mag.00g008230-v1.0.a1	2904	4532	5876	5604	2997	3453	3827	1824	1526	2612	4446	4052	3425	2881	1511	3467	9821	3117	5319	697	320	1963	5091	3055
M_mag.00g008240-v1.0.a1	31	13	37	114	37	76	74	25	20	22	53	52	27	35	20	68	112	156	94	5	4	108	37	11
M_mag.00g008250-v1.0.a1	12	15	51	122	13	64	46	9	26	27	53	45	21	36	18	41	82	69	79	10	4	95	10	8
M_mag.00g008260-v1.0.a1	72	97	29	68	68	37	13	63	52	51	47	114	69	59	33	24	93	15	100	7	5	3	82	52
M_mag.00g008270-v1.0.a1	86	109	60	106	93	36	19	43	60	43	62	77	75	56	30	17	78	20	71	19	10	2	101	66
M_mag.00g008280-v1.0.a1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008290-v1.0.a1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008300-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008310-v1.0.a1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008320-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0
M_mag.00g008330-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M_mag.00g008340-v1.0.a1	0	0	5	3	0	1	0	2	0	0	2	0	1	0	4	5	2	5	0	0	0	3	1	0
M_mag.00g008350-v1.0.a1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0
M_mag.00g008360-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008370-v1.0.a1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008380-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008390-v1.0.a1	0	5	0	3	0	3	9	7	1	2	0	4	3	5	2	2	11	0	0	1	0	0	0	4
M_mag.00g008400-v1.0.a1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	14	0	0	0	0	0	0	0
M_mag.00g008410-v1.0.a1	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
M_mag.00g008420-v1.0.a1	1	11	6	14	6	0	14	2	10	0	0	1	7	2	6	2	17	5	7	4	4	1	1	5
M_mag.00g008430-v1.0.a1	1	2	1	14	1	0	0	1	0	4	2	0	0	1	3	2	1	5	0	0	3	6	1	0
M_mag.00g008440-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
M_mag.00g008450-v1.0.a1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0
M_mag.00g008460-v1.0.a1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M_mag.00g008470-v1.0.a1	2	7	2	0	0	0	1	4	0	0	9	4	0	4	13	0	0	1	0	2	5	1	2	6
M_mag.00g008480-v1.0.a1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1
M_mag.00g008490-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008500-v1.0.a1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008510-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_mag.00g008520-v1.0.a1	0	5	4	2	4	0	0	0	0	2	1	2	0	1	1	0	0	1	0	1	1	0	0	0
M_mag.00g008530-v1.0.a1	3	19	8	2	10	9	1	35	24	28	19	16	2	45	41	6	8	10	12	15	8	6	4	7
M_mag.00g008540-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0
M_mag.00g008550-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008560-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g008570-v1.0.a1	2	2	12	2	0	0	0	5	3	6	0	4	0	5	8	0	5	0	1	3	5	0	0	0
M_mag.00g008580-v1.0.a1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_mag.00g008590-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g008600-v1.0.a1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M_mag.00g008610-v1.0.a1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
M_mag.00g008620-v1.0.a1	13	31	7	6	15	1	7	12	6	46	2	18	0	15	34	0	0	7	0	11	23	8	15	19
M_mag.00g008630-v1.0.a1	14	55	29	29	10	14	6	41	14	56	27	41	7	33	50	2	3	19	10	48	36	13	19	33
M_mag.00g008640-v1.0.a1	7	0	8	2	6	0	0	2	2	17	0	1	1	1	9	0	0	0	2	0	3	0	5	3
M_mag.00g008650-v1.0.a1	0	2	0	2	6	1	0	2	3	10	0	0	0	0	13	0	0	3	0	1	2	1	3	4
M_mag.00g008660-v1.0.a1	2	28	11	23	3	0	0	4	9	23	5	10	0	17	40	0	0	0	4	16	12	0	10	15
M_mag.00g008670-v1.0.a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0
