Downregulated	Upregulated	All_DEGs	All_genes
			Q9P2J5
			P50876
			A4IIY1
			P57102
			Q7ZXZ0
			Q16QL3
			Q8SXD4
			O43290
			P62331
			Q5R650
			Q27238
			Q95NQ0
			Q9R1K5
			J7HCX7
			Q23551
			Q03601
			Q6PCX9
			Q8TAQ2
			Q9W1A4
			Q8WML3
			Q24119
			Q24119
			Q8K174
			Q5ZMR3
			Q92851
			Q6PDG8
			Q5T2R2
			Q8UVK2
			P21328
			P21328
			Q9V3G7
			Q6PIP5
			P63079
			Q7ZYJ9
			Q9NVV5
			O18391
			Q3SZI7
			Q8VEK6
			P42229
			Q9TUM3
			P20482
			Q5RCB8
			P56941
			Q05048
			Q9V9J3
			P21328
			E3WPP8
			Q95SX7
			Q28007
			Q9NBX4
			O18405
			O18405
			Q9JJT0
			Q6ZQ08
			Q6ZQ08
			A5YKK6
			A5YKK6
			A0JJX5
			P14317
			Q3UG20
			F1NY98
			Q41142
			Q41142
			O61443
			Q5ZL16
			Q7ZYC4
			O14512
			A6MHQ4
			Q15477
			Q68FX1
			P04052
			P04052
			Q5ZML3
			A4IF97
			A8JUV0
			Q7Z3B4
			Q5RB59
			Q92618
			A1L0Y2
			Q9BVG9
			P53992
			Q91577
			Q27319
			Q27319
			Q27319
			P40798
			P52785
			Q6VVW5
			Q9NBX4
			Q9TU32
			P18491
			B4NAD3
			Q6X0I2
			Q6NZL0
			Q8R5M5
			Q5F3G6
			Q5ZIB9
			Q3MIX3
			Q90889
			A0A0B4J1F4
			P70353
			O01377
			P79384
			B5DF89
			Q2V0C9
			Q8NFA0
			P43345
			Q6DI40
			Q8C0D5
			Q8C0D5
			P35670
			P70705
			P70705
			P16554
			P85037
			E9Q7E2
			Q02527
			Q28DT7
			Q9Y4A5
			Q5RBU7
			P10379
			Q9Y6A5
			Q96BV0
			P32027
			Q9VI13
			Q9VDR1
			Q68CZ2
			P70236
			Q17N69
			O43541
			O76071
			Q9XYN1
			Q9XYN1
			Q5ZMP6
			P49707
			Q24020
			Q08AY9
			Q5E9H5
			Q8IRU4
			Q08499
			O95628
			Q8BT14
			P20825
			G5EBR3
			Q9H8G1
			Q6ZMW2
			Q5XIN7
			Q58D72
			O94323
			W8E7D1
			P52170
			Q4R562
			Q9GRW0
			A1Z7T0
			P37276
			P37276
			P37276
			P37276
			Q9VWH4
			Q91WD5
			Q13356
			Q9VU02
			Q9QZS7
			P45963
			Q8IYX0
			A2VDP4
			Q8NB50
			Q8NB50
			O61598
			Q0ZDF7
			Q5R7G6
			Q5RBG3
			Q5ZLK2
			P49888
			Q6PGN3
			Q9ESI7
			P98182
			O43490
			Q60524
			P29144
			O97159
			J3SEZ3
			P61291
			Q8BTK5
			Q8BU31
			Q6DKK2
			P11799
			Q9I7U4
			Q9I7U4
			Q9I7U4
			Q9I7U4
			Q9I7U4
			Q9JJK2
			Q0IFL2
			Q56R14
			Q6PAY8
			Q14151
			Q8IZU2
			P12297
			O75844
			Q91Z69
			Q96KM6
			Q9TU23
			Q02386
			Q9ERG0
			Q5XI81
			Q9VBY8
			P32234
			P42282
			A3KMH1
			Q9VUX2
			Q804S5
			O14562
			O46516
			P15594
			Q9JMA7
			P18755
			Q9Z1G4
			Q7ZU42
			Q8NCG7
			Q3SZ85
			A6QLU1
			Q6RVG2
			Q3SWZ4
			P91622
			O95498
			Q5ND34
			Q562E7
			P02401
			Q8BMF5
			Q9NBX4
			O94805
			P36872
			Q15256
			Q6NVS5
			Q5R4T8
			Q80ZJ7
			P51659
			P17038
			Q9WV34
			Q9JLB0
			Q810V0
			P23074
			P20825
			P20825
			P53811
			F7J184
			Q9VRM7
			Q9ESS0
			Q9ESS0
			Q28C44
			Q8NDA2
			A0JMQ0
			Q9H0A0
			P63017
			Q25009
			Q07460
			P82119
			P82119
			P82119
			O00237
			O70244
			Q9W5U2
			Q27081
			Q01484
			Q6NWH1
			Q9V9Z9
			Q6P4M5
			G5EBF1
			O77245
			Q63009
			P68369
			Q9Y6E0
			Q99KH8
			Q5SNZ0
			H9J9M0
			H9J9M0
			M9NEY8
			P23677
			Q4KKX4
			Q6P3B9
			A0A0P6JG37
			P23074
			Q6NXD2
			O93309
			Q5R4K5
			P97690
			P70501
			Q18932
			Q9ULJ7
			P21902
			P21328
			Q7XPJ0
			Q9NBX4
			P20825
			Q1LUA8
			P55035
			G4RK44
			Q6PD10
			Q562C7
			Q08DJ8
			Q80UM3
			O16797
			P13496
			Q9NBX4
			Q95SX7
			Q95SX7
			P54939
			Q60695
			P20825
			B5RI54
			O61470
			Q6NN85
			Q9V460
			Q9BZ29
			Q68DU8
			A0A1L5YRA2
			A0A1L5YRA2
			Q3T0D0
			P40656
			P98157
			B0BNE2
			P52888
			P11915
			P20825
			P17276
			Q8BQZ4
			Q86X10
			Q3UQ28
			E9Q6P5
			Q9W0T5
			Q9V427
			P61166
			Q9GYV9
			Q8VIH3
			Q5S3G4
			Q5RE65
			Q6PFM1
			Q924Y4
			P56649
			P20825
			Q5XGI0
			Q9HA90
			Q94572
			Q10209
			P0CT35
			Q9CPW9
			Q7ZVS8
			Q9VSS1
			P40792
			Q7KQZ4
			Q95SX7
			Q26481
			P53396
			P54357
			Q26263
			Q7TP48
			Q9EQT3
			Q9XSC3
			Q7KMJ6
			P29617
			Q96RW7
			Q8NHS0
			Q5RC80
			Q0VA06
			Q922D4
			Q7PHR1
			Q9VLP3
			Q5XGY1
			P35381
			Q295E6
			Q6AZ28
			Q5BL41
			P45888
			Q04678
			Q9UQC9
			Q5ZJN1
			Q9DE27
			Q9VJB6
			D3Z5L6
			Q6NT16
			P22304
			Q297A7
			Q80U22
			P98160
			Q9U9J4
			Q9W0K4
			P35505
			Q9Y222
			O14733
			Q5ZM41
			Q9UBQ7
			Q920A6
			Q16U49
			Q9UHC1
			Q95P23
			Q90WR8
			Q5RJK8
			Q32P59
			Q6DJF8
			P55345
			O15145
			Q7ZY47
			Q96AX1
			Q2NKQ1
			Q292R5
			Q16P20
			P83939
			P61208
			Q9H221
			Q99PE8
			A0A2R8QF68
			Q5U236
			Q28C22
			Q9DAK3
			Q13435
			Q5NVR2
			Q7ZVZ6
			P0CY46
			Q1HE00
			Q9VF87
			Q9VF87
			A0JNI5
			Q8CCF0
			Q6PGP7
			O62703
			P25439
			Q63357
			Q5XGB9
			Q92902
			Q96Q77
			Q9PW38
			Q588U8
			Q95SX7
			P46223
			P35500
			P23792
			P48809
			Q8N6G5
			O82201
			Q9R1A9
			O61303
			Q7RTY9
			P18173
			Q6P5E8
			Q9V4Z9
			Q9BT88
			O00567
			B8JMH0
			Q08705
			Q6X4M3
			P22198
			P20825
			P52183
			P38624
			P49020
			P32138
			O16118
			Q5GIG6
			P49821
			Q01070
			Q01070
			Q8Y0Z0
			Q62203
			P42283
			Q7TSH3
			Q96A58
			Q5EB30
			Q7KRI2
			Q8R550
			Q60520
			Q95RA8
			Q9SP08
			Q5I7G2
			P40689
			Q6NZQ2
			Q9VTY4
			A1Z9X0
			Q5R507
			P48603
			P20825
			P10383
			P29844
			Q86YP4
			Q5IGR8
			P29503
			Q5REY2
			Q0IHV2
			Q8TCT0
			Q91YT2
			Q9UMX1
			Q5REW1
			Q149M9
			A6H603
			A2VEI2
			P12755
			Q95SX7
			P15122
			Q5RFK0
			Q2TBV3
			Q4V9P6
			P21328
			Q95SX7
			P20825
			Q5ZL00
			Q66JG9
			P0C090
			Q95SX7
			Q8IRI6
			Q6DFC6
			Q9H3D4
			Q26486
			Q96PZ0
			O60524
			Q99MY8
			Q05086
			B6ID01
			Q0P499
			P15278
			P56960
			Q9W5E0
			P00031
			Q6QLW4
			P0C0A2
			Q2KIB7
			B3NFA2
			P35564
			Q8I1F4
			Q8R0H9
			Q9WU78
			B7Z031
			Q95SX7
			Q5RFL9
			Q04688
			P52826
			Q3KPW4
			A6NFN3
			Q8BI99
			Q4V8D1
			Q9NHP7
			Q63572
			Q2KJI2
			P46977
			P21329
			Q9VGY6
			Q9VGY6
			Q6INH1
			P23803
			Q9N5X6
			Q9N5X6
			P23803
			O75643
			Q9VCE1
			Q5U2Q3
			B4MKC7
			Q95334
			Q18955
			Q90718
			B0JYW5
			Q86XD8
			Q5HZE0
			Q2JVA4
			Q2KHR3
			Q9GQN0
			Q9UIA9
			Q58EX7
			P70478
			Q9NBX4
			Q9NBX4
			P21328
			P21328
			Q8I7P9
			P20825
			P21328
			Q9NBX4
